year,month,report begin date,report end date,region,type_egg,price unit,environment,price avg
<<<<<<< HEAD
2019,January,1/5/2019,1/11/2019,Alaska,Large Brown,Per Carton,Organic,4.29
2019,January,1/5/2019,1/11/2019,Alaska,Large White,Per Carton,Conventional,1.29
2019,January,1/5/2019,1/11/2019,Alaska,Large White,Per Carton,Conventional,3.29
2019,January,1/5/2019,1/11/2019,Hawaii,Large White,Per Carton,Conventional,4.39
2019,January,1/5/2019,1/11/2019,Hawaii,Medium White,Per Carton,Conventional,2
2019,January,1/5/2019,1/11/2019,MidWest,Large Brown,Per Carton,Organic,2.71
2019,January,1/5/2019,1/11/2019,MidWest,Large Brown,Per Carton,Organic,2.99
2019,January,1/5/2019,1/11/2019,MidWest,Large White,Per Carton,Conventional,1.5
2019,January,1/5/2019,1/11/2019,MidWest,Large White,Per Carton,Conventional,2.33
2019,January,1/5/2019,1/11/2019,MidWest,Medium White,Per Carton,Conventional,0.51
2019,January,1/5/2019,1/11/2019,National,Extra Large Brown,Per Carton,Organic,3.49
2019,January,1/5/2019,1/11/2019,National,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/5/2019,1/11/2019,National,Extra Large Brown,Per Carton,Conventional,2.49
2019,January,1/5/2019,1/11/2019,National,Large Brown,Per Carton,Organic,2.57
2019,January,1/5/2019,1/11/2019,National,Large Brown,Per Carton,Organic,3.36
2019,January,1/5/2019,1/11/2019,National,Large Brown,Per Carton,Conventional,2.32
2019,January,1/5/2019,1/11/2019,National,Extra Large White,Per Carton,Conventional,2
2019,January,1/5/2019,1/11/2019,National,Extra Large White,Per Carton,Conventional,2.35
2019,January,1/5/2019,1/11/2019,National,Large White,Per Carton,Organic,1.9
2019,January,1/5/2019,1/11/2019,National,Large White,Per Carton,Conventional,1.81
2019,January,1/5/2019,1/11/2019,National,Large White,Per Carton,Conventional,1.98
2019,January,1/5/2019,1/11/2019,National,Large White,Per Carton,Conventional,2.47
2019,January,1/5/2019,1/11/2019,NorthEast,Extra Large Brown,Per Carton,Organic,3.49
2019,January,1/5/2019,1/11/2019,NorthEast,Extra Large Brown,Per Carton,Organic,3.99
2019,January,1/5/2019,1/11/2019,NorthEast,Extra Large Brown,Per Carton,Conventional,2.49
2019,January,1/5/2019,1/11/2019,NorthEast,Large Brown,Per Carton,Organic,2.76
2019,January,1/5/2019,1/11/2019,NorthEast,Large Brown,Per Carton,Organic,4.49
2019,January,1/5/2019,1/11/2019,NorthEast,Large Brown,Per Carton,Conventional,2.33
2019,January,1/5/2019,1/11/2019,NorthEast,Extra Large White,Per Carton,Conventional,2
2019,January,1/5/2019,1/11/2019,NorthEast,Extra Large White,Per Carton,Conventional,2.36
2019,January,1/5/2019,1/11/2019,NorthEast,Large White,Per Carton,Organic,2.99
2019,January,1/5/2019,1/11/2019,NorthEast,Large White,Per Carton,Conventional,1.63
2019,January,1/5/2019,1/11/2019,NorthEast,Large White,Per Carton,Conventional,2.04
2019,January,1/5/2019,1/11/2019,NorthEast,Large White,Per Carton,Conventional,2.47
2019,January,1/5/2019,1/11/2019,NorthWest,Large Brown,Per Carton,Organic,1.98
2019,January,1/5/2019,1/11/2019,NorthWest,Large Brown,Per Carton,Organic,3.41
2019,January,1/5/2019,1/11/2019,NorthWest,Large White,Per Carton,Organic,1.59
2019,January,1/5/2019,1/11/2019,NorthWest,Large White,Per Carton,Conventional,1.24
2019,January,1/5/2019,1/11/2019,NorthWest,Large White,Per Carton,Conventional,1.36
2019,January,1/5/2019,1/11/2019,SouthCentral,Large Brown,Per Carton,Organic,2.26
2019,January,1/5/2019,1/11/2019,SouthCentral,Large Brown,Per Carton,Organic,3
2019,January,1/5/2019,1/11/2019,SouthCentral,Extra Large White,Per Carton,Conventional,2.5
2019,January,1/5/2019,1/11/2019,SouthCentral,Large White,Per Carton,Conventional,1.33
2019,January,1/5/2019,1/11/2019,SouthCentral,Large White,Per Carton,Conventional,2.64
2019,January,1/5/2019,1/11/2019,SouthCentral,Medium White,Per Carton,Conventional,1.5
2019,January,1/5/2019,1/11/2019,SouthEast,Large Brown,Per Carton,Organic,2.91
2019,January,1/5/2019,1/11/2019,SouthEast,Large Brown,Per Carton,Organic,3.99
2019,January,1/5/2019,1/11/2019,SouthEast,Large Brown,Per Carton,Conventional,2.29
2019,January,1/5/2019,1/11/2019,SouthEast,Large White,Per Carton,Conventional,2.5
2019,January,1/5/2019,1/11/2019,SouthEast,Large White,Per Carton,Conventional,2.5
2019,January,1/5/2019,1/11/2019,SouthWest,Large Brown,Per Carton,Organic,1.99
2019,January,1/5/2019,1/11/2019,SouthWest,Large Brown,Per Carton,Organic,3.16
2019,January,1/5/2019,1/11/2019,SouthWest,Extra Large White,Per Carton,Conventional,1.88
2019,January,1/5/2019,1/11/2019,SouthWest,Large White,Per Carton,Organic,1.5
2019,January,1/5/2019,1/11/2019,SouthWest,Large White,Per Carton,Conventional,2.86
2019,January,1/5/2019,1/11/2019,SouthWest,Large White,Per Carton,Conventional,3.79
2019,January,1/5/2019,1/11/2019,SouthWest,Medium White,Per Carton,Conventional,1.78
2019,January,1/12/2019,1/18/2019,Alaska,Large Brown,Per Carton,Organic,3.07
2019,January,1/12/2019,1/18/2019,Alaska,Large White,Per Carton,Conventional,0.99
2019,January,1/12/2019,1/18/2019,MidWest,Extra Large Brown,Per Carton,Organic,3.49
2019,January,1/12/2019,1/18/2019,MidWest,Large Brown,Per Carton,Organic,1.84
2019,January,1/12/2019,1/18/2019,MidWest,Large Brown,Per Carton,Organic,2.93
2019,January,1/12/2019,1/18/2019,MidWest,Extra Large White,Per Carton,Conventional,1.72
2019,January,1/12/2019,1/18/2019,MidWest,Extra Large White,Per Carton,Conventional,3.08
2019,January,1/12/2019,1/18/2019,MidWest,Large White,Per Carton,Organic,2.12
2019,January,1/12/2019,1/18/2019,MidWest,Large White,Per Carton,Conventional,1.14
2019,January,1/12/2019,1/18/2019,MidWest,Large White,Per Carton,Conventional,2.37
2019,January,1/12/2019,1/18/2019,MidWest,Medium White,Per Carton,Conventional,0.69
2019,January,1/12/2019,1/18/2019,National,Extra Large Brown,Per Carton,Organic,3.61
2019,January,1/12/2019,1/18/2019,National,Large Brown,Per Carton,Organic,2.36
2019,January,1/12/2019,1/18/2019,National,Large Brown,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,National,Large Brown,Per Carton,Organic,3.23
2019,January,1/12/2019,1/18/2019,National,Large Brown,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,National,Extra Large White,Per Carton,Conventional,2.94
2019,January,1/12/2019,1/18/2019,National,Extra Large White,Per Carton,Conventional,2.95
2019,January,1/12/2019,1/18/2019,National,Large White,Per Carton,Organic,2.09
2019,January,1/12/2019,1/18/2019,National,Large White,Per Carton,Conventional,1.76
2019,January,1/12/2019,1/18/2019,National,Large White,Per Carton,Conventional,2.08
2019,January,1/12/2019,1/18/2019,National,Large White,Per Carton,Organic,2.49
2019,January,1/12/2019,1/18/2019,NorthEast,Extra Large Brown,Per Carton,Organic,3.77
2019,January,1/12/2019,1/18/2019,NorthEast,Large Brown,Per Carton,Organic,3.24
2019,January,1/12/2019,1/18/2019,NorthEast,Large Brown,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,NorthEast,Large Brown,Per Carton,Organic,3.77
2019,January,1/12/2019,1/18/2019,NorthEast,Large Brown,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,NorthEast,Extra Large White,Per Carton,Conventional,2.99
2019,January,1/12/2019,1/18/2019,NorthEast,Large White,Per Carton,Organic,1.99
2019,January,1/12/2019,1/18/2019,NorthEast,Large White,Per Carton,Conventional,1.52
2019,January,1/12/2019,1/18/2019,NorthEast,Large White,Per Carton,Conventional,1.96
2019,January,1/12/2019,1/18/2019,NorthEast,Large White,Per Carton,Organic,2.49
2019,January,1/12/2019,1/18/2019,NorthWest,Large White,Per Carton,Conventional,0.88
2019,January,1/12/2019,1/18/2019,NorthWest,Large White,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,SouthCentral,Large Brown,Per Carton,Organic,3
2019,January,1/12/2019,1/18/2019,SouthCentral,Large Brown,Per Carton,Organic,2.84
2019,January,1/12/2019,1/18/2019,SouthCentral,Extra Large White,Per Carton,Conventional,2.32
2019,January,1/12/2019,1/18/2019,SouthCentral,Large White,Per Carton,Organic,3.49
2019,January,1/12/2019,1/18/2019,SouthCentral,Large White,Per Carton,Conventional,1.52
2019,January,1/12/2019,1/18/2019,SouthCentral,Large White,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,SouthEast,Large Brown,Per Carton,Organic,2.89
2019,January,1/12/2019,1/18/2019,SouthEast,Large Brown,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,SouthEast,Large Brown,Per Carton,Organic,2.79
2019,January,1/12/2019,1/18/2019,SouthEast,Large Brown,Per Carton,Conventional,2.5
2019,January,1/12/2019,1/18/2019,SouthEast,Extra Large White,Per Carton,Conventional,4.59
2019,January,1/12/2019,1/18/2019,SouthEast,Extra Large White,Per Carton,Conventional,2.29
2019,January,1/12/2019,1/18/2019,SouthEast,Large White,Per Carton,Conventional,1.09
2019,January,1/12/2019,1/18/2019,SouthEast,Large White,Per Carton,Conventional,1.77
2019,January,1/12/2019,1/18/2019,SouthEast,Large White,Per Carton,Organic,2.49
2019,January,1/12/2019,1/18/2019,SouthEast,Medium White,Per Carton,Conventional,0.69
2019,January,1/12/2019,1/18/2019,SouthWest,Large Brown,Per Carton,Organic,1.94
2019,January,1/12/2019,1/18/2019,SouthWest,Large Brown,Per Carton,Organic,3.28
2019,January,1/12/2019,1/18/2019,SouthWest,Large White,Per Carton,Conventional,1.89
2019,January,1/12/2019,1/18/2019,SouthWest,Large White,Per Carton,Conventional,3
2019,January,1/12/2019,1/18/2019,SouthWest,Medium White,Per Carton,Conventional,2.79
2019,January,1/19/2019,1/25/2019,Alaska,Large Brown,Per Carton,Organic,2.21
2019,January,1/19/2019,1/25/2019,Alaska,Large Brown,Per Carton,Conventional,1.99
2019,January,1/19/2019,1/25/2019,Hawaii,Large White,Per Carton,Conventional,3.5
2019,January,1/19/2019,1/25/2019,Hawaii,Large White,Per Carton,Conventional,3.99
2019,January,1/19/2019,1/25/2019,MidWest,Large Brown,Per Carton,Organic,2.57
2019,January,1/19/2019,1/25/2019,MidWest,Large Brown,Per Carton,Conventional,2.5
2019,January,1/19/2019,1/25/2019,MidWest,Large Brown,Per Carton,Organic,3.49
