report begin date,report end date,month,region,type,price unit,environment,price avg
1/5/2019,1/11/2019,January,Alaska,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",4.29
1/5/2019,1/11/2019,January,Alaska,WHITE LARGE,Per Carton,Conventional,1.29
1/5/2019,1/11/2019,January,Alaska,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),3.29
1/5/2019,1/11/2019,January,Hawaii,WHITE LARGE,Per Carton,Conventional,4.39
1/5/2019,1/11/2019,January,Hawaii,WHITE MEDIUM,Per Carton,Conventional,2.00
1/5/2019,1/11/2019,January,MidWest,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.71
1/5/2019,1/11/2019,January,MidWest,BROWN LARGE,Per Carton,USDA Organic,2.99
1/5/2019,1/11/2019,January,MidWest,WHITE LARGE,Per Carton,Conventional,1.50
1/5/2019,1/11/2019,January,MidWest,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.33
1/5/2019,1/11/2019,January,MidWest,WHITE MEDIUM,Per Carton,Conventional,0.51
1/5/2019,1/11/2019,January,National,BROWN EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.49
1/5/2019,1/11/2019,January,National,BROWN EXTRA LARGE,Per Carton,USDA Organic,3.99
1/5/2019,1/11/2019,January,National,BROWN EXTRA LARGE,Per Carton,Vegatarian-Fed,2.49
1/5/2019,1/11/2019,January,National,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.57
1/5/2019,1/11/2019,January,National,BROWN LARGE,Per Carton,USDA Organic,3.36
1/5/2019,1/11/2019,January,National,BROWN LARGE,Per Carton,Vegatarian-Fed,2.32
1/5/2019,1/11/2019,January,National,WHITE EXTRA LARGE,Per Carton,Conventional,2.00
1/5/2019,1/11/2019,January,National,WHITE EXTRA LARGE,Per Carton,Nutritionally Enhanced (Omega-3),2.35
1/5/2019,1/11/2019,January,National,WHITE LARGE,Per Carton,"Cage-Free, USDA Organic",1.90
1/5/2019,1/11/2019,January,National,WHITE LARGE,Per Carton,Conventional,1.81
1/5/2019,1/11/2019,January,National,WHITE LARGE,Per Carton,Nutritionally Enhanced (Omega-3),1.98
1/5/2019,1/11/2019,January,National,WHITE LARGE,Per Carton,Vegatarian-Fed,2.47
1/5/2019,1/11/2019,January,NorthEast,BROWN EXTRA LARGE,Per Carton,"Cage-Free, USDA Organic",3.49
1/5/2019,1/11/2019,January,NorthEast,BROWN EXTRA LARGE,Per Carton,USDA Organic,3.99
1/5/2019,1/11/2019,January,NorthEast,BROWN EXTRA LARGE,Per Carton,Vegatarian-Fed,2.49
1/5/2019,1/11/2019,January,NorthEast,BROWN LARGE,Per Carton,"Cage-Free, USDA Organic",2.76
1/5/2019,1/11/2019,January,NorthEast,BROWN LARGE,Per Carton,USDA Organic,4.49
1/5/2019,1/11/2019,January,NorthEast,BROWN LARGE,Per Carton,Vegatarian-Fed,2.33
1/5/2019,1/11/2019,January,NorthEast,WHITE EXTRA LARGE,Per Carton,Conventional,2.00
