office_name,office_code,office_city,office_state,report_begin_date,report_end_date,published_date,commodity,slug_id,slug_name,report_title,final_ind,report_date,region,community,section,type,condition,quality_grade,package_size,price_unit,environment,price_avg,price_min,price_max,store_count
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Southeast,Poultry,Shell Egg,Jumbo White,Fresh,A,12,Per Carton,Conventional,2.98,2.98,2.98,40
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Shell Egg,Jumbo White,Fresh,,12,Per Carton,Conventional,2.98,2.98,2.99,61
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Midwest,Poultry,Shell Egg,Jumbo White,Fresh,A,12,Per Carton,Conventional,2.99,2.99,2.99,21
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Shell Egg,Medium White,Fresh,,12,Per Carton,Conventional,2.99,2.99,2.99,296
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Southeast,Poultry,Egg Products,Egg Nog,Fresh,Ungraded/Other,64 oz,Per Carton,Conventional,5.88,3.99,5.99,54
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Egg Products,Egg Nog,Fresh,,64 oz,Per Carton,Conventional,5.5,3.99,6.99,769
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northwest,Poultry,Shell Egg,Large Brown,Fresh,A,12,Per Carton,"USDA Organic, Pasture Raised",8.34,6.99,9.69,30
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,NATIONAL,Poultry,Shell Egg,Large Brown,Fresh,,12,Per Carton,"USDA Organic, Pasture Raised",8.34,6.99,9.69,30
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northeast,Poultry,Shell Egg,Large White,Fresh,A,12,Per Carton,Cage-Free,3.99,3.99,3.99,296
"Washington, DC - LP (Retail)",LP-WARE,Washington,DC,12/21/2024,12/27/2024,12/27/2024 9:22,Eggs,2757,AMS_2757,Weekly Retail Egg Feature Activity,Final,12/23/2024,Northeast,Poultry,Shell Egg,Large Brown,Fresh,A,18,Per Carton,Cage-Free,4.99,4.99,4.99,17
